name,capital,alpha_cap,stock_profile,stock_positions,stock_rebalance_freq,simultaneous_improvement_gate_passes,stock_execution_gate_passes,small_account_minimum_gate_passes,sharpe_ratio,annual_return,max_drawdown,win_rate,avg_oos_sharpe,min_oos_sharpe,annual_return_delta,sharpe_delta,max_drawdown_delta,avg_oos_sharpe_delta,min_oos_sharpe_delta,avg_alpha_allocation,active_alpha_ratio,stock_subaccount_capital,stock_avg_holdings,stock_orders,stock_total_fees
v37_100000_alpha15_small_balanced_1pos_20d,100000.0,0.15,small_balanced,1,20,False,True,False,0.4914,0.0637,-0.1372,0.3208,0.3438,-0.939,0.003,0.0315,-0.0021,-0.0107,-0.0128,0.0202,0.2467,15000.0,0.95,270,2789.96
v37_200000_alpha20_small_balanced_1pos_40d,200000.0,0.2,small_balanced,1,40,False,True,False,0.4863,0.0638,-0.1416,0.3311,0.3563,-0.9773,0.003,0.0254,-0.0065,0.0013,-0.0505,0.0282,0.2801,40000.0,1.0,139,2008.51
v37_100000_alpha20_small_balanced_1pos_40d,100000.0,0.2,small_balanced,1,40,False,True,False,0.4857,0.0637,-0.1416,0.3174,0.3661,-0.9446,0.003,0.0258,-0.0065,0.0116,-0.0184,0.0267,0.2601,20000.0,0.89,124,1182.26
v37_200000_alpha10_v32_guard_2pos_40d,200000.0,0.1,v32_guard,2,40,False,True,False,0.4936,0.0637,-0.1351,0.2981,0.3542,-0.9248,0.0029,0.0327,0.0,-0.0008,0.002,0.0099,0.1867,20000.0,0.87,114,890.08
v37_200000_alpha10_v32_guard_1pos_20d,200000.0,0.1,v32_guard,1,20,False,True,False,0.4918,0.0636,-0.1354,0.3191,0.3704,-0.9288,0.0028,0.0309,-0.0003,0.0154,-0.002,0.0141,0.2734,20000.0,0.69,195,1940.6
v37_200000_alpha20_v32_guard_1pos_20d,200000.0,0.2,v32_guard,1,20,False,True,False,0.4914,0.0636,-0.1365,0.3084,0.3511,-0.9288,0.0028,0.0305,-0.0014,-0.0039,-0.002,0.0267,0.2334,40000.0,0.71,202,2262.83
v37_100000_alpha10_v32_guard_2pos_40d,100000.0,0.1,v32_guard,2,40,False,True,False,0.4912,0.0635,-0.1351,0.2958,0.3534,-0.9281,0.0028,0.0313,0.0,-0.0011,-0.0019,0.0072,0.1267,10000.0,0.52,74,511.7
v37_50000_alpha20_v32_guard_1pos_20d,50000.0,0.2,v32_guard,1,20,False,True,False,0.4908,0.0631,-0.1287,0.2951,0.356,-0.9376,0.0026,0.0307,0.0,0.0033,-0.0018,0.0131,0.1267,10000.0,0.39,110,807.99
v37_200000_alpha10_small_balanced_1pos_20d,200000.0,0.1,small_balanced,1,20,False,True,False,0.4894,0.0634,-0.1362,0.3281,0.3504,-0.952,0.0026,0.0285,-0.0011,-0.0046,-0.0252,0.0144,0.2668,20000.0,0.96,272,3528.41
v37_100000_alpha10_v32_guard_2pos_20d,100000.0,0.1,v32_guard,2,20,False,True,False,0.4867,0.0632,-0.1346,0.2948,0.3534,-0.9259,0.0025,0.0268,0.0005,-0.0011,0.0003,0.008,0.1467,10000.0,0.69,156,1026.24
v37_200000_alpha10_v32_guard_2pos_20d,200000.0,0.1,v32_guard,2,20,False,True,False,0.4839,0.0632,-0.1351,0.3181,0.3474,-0.9413,0.0024,0.023,0.0,-0.0076,-0.0145,0.0111,0.2334,20000.0,1.13,321,2508.75
v37_200000_alpha15_v32_guard_1pos_20d,200000.0,0.15,v32_guard,1,20,False,True,False,0.4854,0.063,-0.1352,0.3038,0.3526,-0.9292,0.0022,0.0245,-0.0001,-0.0024,-0.0024,0.0183,0.2267,30000.0,0.7,198,1950.79
v37_100000_alpha15_v32_guard_1pos_20d,100000.0,0.15,v32_guard,1,20,False,True,False,0.4848,0.0629,-0.1356,0.3041,0.3553,-0.9291,0.0022,0.0249,-0.0005,0.0008,-0.0029,0.0136,0.1801,15000.0,0.58,165,1291.57
v37_50000_alpha20_small_balanced_1pos_40d,50000.0,0.2,small_balanced,1,40,False,True,False,0.4772,0.0627,-0.1354,0.3094,0.3443,-0.9382,0.0022,0.0171,-0.0067,-0.0084,-0.0024,0.0233,0.2001,10000.0,0.8,117,835.43
v37_100000_alpha10_small_balanced_1pos_20d,100000.0,0.1,small_balanced,1,20,False,True,False,0.4831,0.0628,-0.1352,0.3144,0.3503,-0.9515,0.0021,0.0232,-0.0001,-0.0042,-0.0253,0.0125,0.2334,10000.0,0.86,242,2088.66
v37_200000_alpha15_small_balanced_1pos_40d,200000.0,0.15,small_balanced,1,40,False,True,False,0.479,0.0629,-0.1401,0.3211,0.3583,-0.9413,0.0021,0.0181,-0.005,0.0033,-0.0145,0.0218,0.2801,30000.0,0.96,133,1486.83
v37_100000_alpha15_small_balanced_1pos_40d,100000.0,0.15,small_balanced,1,40,False,True,False,0.4768,0.0627,-0.1385,0.3204,0.3552,-0.941,0.002,0.0169,-0.0034,0.0007,-0.0148,0.0199,0.2534,15000.0,0.96,130,1021.31
v37_50000_alpha10_small_balanced_1pos_20d,50000.0,0.1,small_balanced,1,20,False,True,False,0.481,0.0623,-0.1295,0.3074,0.3531,-0.9368,0.0018,0.0209,-0.0008,0.0004,-0.001,0.0123,0.2401,5000.0,0.79,224,1512.72
v37_50000_alpha10_v32_guard_2pos_40d,50000.0,0.1,v32_guard,2,40,False,True,False,0.4803,0.0622,-0.1287,0.2951,0.3523,-0.9367,0.0017,0.0202,0.0,-0.0004,-0.0009,0.0045,0.0667,5000.0,0.4,54,316.54
v37_50000_alpha20_v32_guard_1pos_40d,50000.0,0.2,v32_guard,1,40,False,True,False,0.4763,0.0622,-0.1287,0.2944,0.3518,-0.9358,0.0017,0.0162,0.0,-0.0009,0.0,0.0116,0.1134,10000.0,0.28,40,289.52
v37_100000_alpha20_v32_guard_1pos_40d,100000.0,0.2,v32_guard,1,40,False,True,False,0.4753,0.0624,-0.1351,0.3014,0.3512,-0.9307,0.0017,0.0154,0.0,-0.0033,-0.0045,0.0134,0.12,20000.0,0.45,68,534.46
v37_200000_alpha20_v32_guard_1pos_40d,200000.0,0.2,v32_guard,1,40,False,True,False,0.4751,0.0625,-0.1371,0.3118,0.3526,-0.9306,0.0017,0.0142,-0.002,-0.0024,-0.0038,0.0213,0.2067,40000.0,0.65,95,907.03
v37_50000_alpha10_v32_guard_2pos_20d,50000.0,0.1,v32_guard,2,20,False,True,False,0.4777,0.0621,-0.1287,0.2881,0.3525,-0.9349,0.0016,0.0176,0.0,-0.0002,0.0009,0.0062,0.1134,5000.0,0.61,132,803.23
v37_50000_alpha15_small_balanced_1pos_40d,50000.0,0.15,small_balanced,1,40,False,True,False,0.4753,0.0621,-0.1287,0.3124,0.3453,-0.9729,0.0016,0.0152,0.0,-0.0074,-0.0371,0.0182,0.2401,7500.0,0.75,108,727.26
