name,capital,rank_mode,gross_profile,max_positions,small_account_minimum_gate_passes,small_account_executable_gate_passes,sharpe_ratio,annual_return,annual_volatility,max_drawdown,win_rate,total_return,final_nav,avg_holdings,avg_stock_exposure,avg_cash_weight,total_fees,fees_pct_initial_capital,orders,blocked_buys,blocked_sells,lot_blocked_targets,cash_blocked_buys,avg_oos_sharpe,min_oos_sharpe
v33_small_account_small_balanced_defensive_50000_12pos,50000.0,defensive,small_balanced,12,False,True,-0.3489,0.0034,0.0619,-0.2539,0.452,0.0292,51461.28,8.23,0.1149,0.8851,30202.72,0.6041,5424,16,250,700,0,-2.2481,-4.2869
v33_small_account_v32_guard_blend_50000_10pos,50000.0,blend,v32_guard,10,False,False,-0.0839,0.0186,0.0757,-0.1744,0.1921,0.3509,67543.77,2.09,0.0338,0.9662,8353.23,0.1671,1471,7,127,92,0,-11.4468,-35.7196
v33_small_account_v32_guard_blend_50000_12pos,50000.0,blend,v32_guard,12,False,False,-0.1247,0.0151,0.0793,-0.1837,0.1323,0.2599,62997.0,1.81,0.0264,0.9736,7025.0,0.1405,1252,6,121,85,0,-10.2572,-28.1423
v33_small_account_v32_guard_defensive_50000_10pos,50000.0,defensive,v32_guard,10,False,False,-0.1299,0.0147,0.0793,-0.1835,0.1674,0.2505,62524.02,2.12,0.0326,0.9674,7670.98,0.1534,1370,4,135,107,0,-14.7668,-44.1619
v33_small_account_v32_guard_blend_50000_8pos,50000.0,blend,v32_guard,8,False,False,-0.1497,0.0138,0.0748,-0.1761,0.1804,0.2359,61794.14,1.48,0.0218,0.9782,6143.86,0.1229,1094,4,60,70,0,-11.9861,-39.5305
v33_small_account_v32_guard_lowvol_reversal_50000_8pos,50000.0,lowvol_reversal,v32_guard,8,False,False,-0.1636,0.0124,0.077,-0.1822,0.164,0.2012,60061.58,1.41,0.0216,0.9784,5811.42,0.1162,1034,2,60,65,0,-12.0191,-34.8863
v33_small_account_v32_guard_lowvol_reversal_50000_10pos,50000.0,lowvol_reversal,v32_guard,10,False,False,-0.1696,0.0119,0.0775,-0.18,0.1421,0.1882,59412.3,1.62,0.0251,0.9749,6622.7,0.1325,1176,5,86,79,0,-15.0247,-46.4509
v33_small_account_v32_guard_ic_50000_10pos,50000.0,ic,v32_guard,10,False,False,-0.1711,0.0169,0.0474,-0.1005,0.2312,0.3422,67111.75,3.04,0.0634,0.9366,13648.25,0.273,2282,13,83,155,0,-2.5199,-8.7873
v33_small_account_small_defensive_blend_100000_5pos,100000.0,blend,small_defensive,5,False,False,-0.1743,0.0152,0.0561,-0.1526,0.5073,0.2909,129086.8,4.67,0.0941,0.9059,23770.2,0.2377,3452,19,199,186,0,-1.4968,-3.7983
v33_small_account_v32_guard_ic_50000_12pos,50000.0,ic,v32_guard,12,False,False,-0.1787,0.0111,0.0778,-0.1814,0.12,0.1714,58568.36,1.63,0.0234,0.9766,6678.64,0.1336,1199,9,79,77,0,-3.0919,-10.0042
v33_small_account_v32_guard_defensive_50000_12pos,50000.0,defensive,v32_guard,12,False,False,-0.1849,0.0105,0.0782,-0.1829,0.141,0.1586,57928.9,2.14,0.03,0.97,7801.1,0.156,1415,8,125,131,0,-1.9761,-9.8804
