name,capital,risk_profile,rank_mode,max_assets,rebalance_freq,small_account_minimum_gate_passes,small_account_executable_gate_passes,sharpe_ratio,annual_return,annual_volatility,max_drawdown,win_rate,total_return,final_nav,avg_holdings,avg_asset_exposure,avg_cash_weight,total_fees,fees_pct_initial_capital,orders,lot_blocked_targets,cash_blocked_buys,avg_oos_sharpe,min_oos_sharpe
v34_etf_defensive_momentum_50000_1asset_40d,50000.0,defensive,momentum,1,40,False,True,0.3626,0.082,0.1573,-0.4101,0.5996,1.3687,118436.56,1.68,0.923,0.077,2412.04,0.0482,118,0,0,-0.4225,-1.7574
v34_etf_balanced_defensive_50000_2asset_20d,50000.0,balanced,defensive,2,20,False,True,0.3601,0.084,0.1637,-0.4598,0.6563,1.3941,119702.77,1.5,0.9446,0.0554,4120.73,0.0824,217,35,1,-0.3361,-1.0145
v34_etf_capital_guard_defensive_100000_3asset_40d,100000.0,capital_guard,defensive,3,40,False,True,0.3595,0.054,0.0806,-0.2988,0.7178,0.8742,187419.04,1.69,0.9568,0.0432,2040.46,0.0204,130,0,0,-0.5352,-1.117
v34_etf_capital_guard_defensive_100000_3asset_60d,100000.0,capital_guard,defensive,3,60,False,True,0.359,0.0542,0.0813,-0.3128,0.7181,0.8778,187776.39,1.65,0.9516,0.0484,1446.81,0.0145,83,0,0,-1.0366,-2.9102
v34_etf_balanced_risk_adjusted_200000_2asset_20d,200000.0,balanced,risk_adjusted,2,20,False,True,0.3587,0.089,0.1784,-0.462,0.6493,1.4695,493909.44,1.9,0.9848,0.0152,18753.96,0.0938,269,0,1,-0.2872,-1.1061
v34_etf_balanced_defensive_200000_3asset_40d,200000.0,balanced,defensive,3,40,False,True,0.3577,0.078,0.1482,-0.4413,0.6589,1.2928,458560.85,2.17,0.983,0.017,11741.15,0.0587,192,0,1,-0.3542,-1.0074
v34_etf_balanced_risk_adjusted_100000_2asset_20d,100000.0,balanced,risk_adjusted,2,20,False,True,0.3574,0.0887,0.1781,-0.4603,0.6493,1.461,246103.24,1.85,0.9769,0.0231,9520.46,0.0952,262,8,1,-0.2892,-1.1129
v34_etf_ultra_guard_risk_adjusted_100000_3asset_40d,100000.0,ultra_guard,risk_adjusted,3,40,False,True,0.3555,0.0439,0.0532,-0.181,0.7092,0.6929,169287.95,1.81,0.9381,0.0619,1689.95,0.0169,144,1,0,-0.5336,-1.2938
v34_etf_capital_guard_risk_adjusted_50000_3asset_20d,50000.0,capital_guard,risk_adjusted,3,20,False,True,0.3551,0.0552,0.085,-0.2705,0.7024,0.8943,94716.7,1.94,0.9077,0.0923,1940.4,0.0388,224,0,0,-0.2423,-1.1464
v34_etf_defensive_risk_adjusted_50000_2asset_20d,50000.0,defensive,risk_adjusted,2,20,False,True,0.3546,0.0655,0.1143,-0.2971,0.6653,1.0765,103826.46,1.88,0.9272,0.0728,3037.34,0.0607,244,0,0,-0.4426,-1.6275
v34_etf_capital_guard_defensive_50000_3asset_40d,50000.0,capital_guard,defensive,3,40,False,True,0.3546,0.0534,0.0801,-0.2967,0.7175,0.8622,93107.74,1.69,0.9339,0.0661,1216.66,0.0243,126,0,0,-0.5765,-1.1725
v34_etf_balanced_momentum_200000_2asset_60d,200000.0,balanced,momentum,2,60,False,True,0.3532,0.1021,0.2183,-0.4979,0.5698,1.6315,526291.31,2.42,0.9834,0.0166,12561.29,0.0628,149,0,0,0.1398,-0.3453
v34_etf_balanced_defensive_100000_3asset_40d,100000.0,balanced,defensive,3,40,False,True,0.3532,0.0773,0.148,-0.441,0.6586,1.2727,227269.78,2.17,0.9674,0.0326,5864.52,0.0586,188,0,1,-0.3605,-1.0144
v34_etf_balanced_risk_adjusted_50000_2asset_20d,50000.0,balanced,risk_adjusted,2,20,False,True,0.353,0.0877,0.1777,-0.4593,0.6486,1.4352,121757.77,1.58,0.9477,0.0523,4860.03,0.0972,250,50,1,-0.2993,-1.1231
