score,name,version,candidate_type,production_comparable,production_minimum_passes,industry_leading_passes,full_sharpe,avg_oos_sharpe,min_oos_sharpe,sharpe_decay,max_drawdown,win_rate,annual_return,total_return,wf_folds,source
140.154,v29_alt_meta_research_only,V29-dynamic-sleeve-portfolio-layer,grid_result,False,False,False,2.001,2.3079,0.1366,-0.0699,-0.104,0.5655,0.1847,25.9429,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer_20y_diagnostic.json
139.9214,v29_price_meta_lowvol_small_carry_floor,V29-dynamic-sleeve-portfolio-layer-v31-execution-constrained,grid_result,True,True,False,1.9481,2.33,0.1555,-0.0714,-0.0988,0.565,0.1622,17.1621,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer_20y_v31_execution_constrained.json
139.904,v29_price_meta_balanced_crisis,V29-dynamic-sleeve-portfolio-layer-v31-execution-constrained,grid_result,True,True,False,2.0202,2.3025,0.0094,-0.0452,-0.1079,0.5638,0.1988,31.8571,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer_20y_v31_execution_constrained.json
139.7818,v29_price_meta_lowvol_crisis,V29-dynamic-sleeve-portfolio-layer,grid_result,True,True,False,2.0031,2.3117,0.0072,-0.0092,-0.1042,0.5709,0.186,6.3888,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer_coverage500_diagnostic.json
139.6205,v29_price_meta_lowvol_micro_carry_floor,V29-dynamic-sleeve-portfolio-layer-v31-execution-constrained,grid_result,True,True,False,1.9434,2.3264,0.163,-0.0703,-0.1005,0.565,0.1625,17.2469,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer_20y_v31_execution_constrained.json
138.7818,v29_price_meta_lowvol_crisis,V29-dynamic-sleeve-portfolio-layer-v31-execution-constrained,grid_result,True,True,False,1.9293,2.3174,0.185,-0.0679,-0.1056,0.5655,0.1634,17.522,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer_20y_v31_execution_constrained.json
137.5252,v29_alt_meta_research_only,V29-dynamic-sleeve-portfolio-layer-v31-execution-constrained,grid_result,False,False,False,1.9448,2.2555,0.0789,-0.0749,-0.1064,0.5628,0.1773,22.6185,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer_20y_v31_execution_constrained.json
135.8732,v29_price_meta_ultradefensive,V29-dynamic-sleeve-portfolio-layer,grid_result,True,True,False,1.8045,2.3165,0.5021,-0.0517,-0.1085,0.568,0.1279,8.2879,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer_20y_diagnostic.json
134.438,v29_price_meta_lowvol_carry_floor,V29-dynamic-sleeve-portfolio-layer,grid_result,True,True,False,2.4517,2.5956,-0.1988,-0.0452,-0.0402,0.5699,0.1916,3.17,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer.json
134.2369,v29_price_meta_ultradefensive,V29-dynamic-sleeve-portfolio-layer-v31-execution-constrained,grid_result,True,True,False,1.7681,2.2841,0.4784,-0.0597,-0.11,0.5651,0.1247,7.7779,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer_20y_v31_execution_constrained.json
133.5881,v29_price_meta_lowvol_carry_floor,V29-dynamic-sleeve-portfolio-layer-v31-execution-constrained,grid_result,True,True,False,2.3641,2.5264,-0.2191,-0.0602,-0.0437,0.5678,0.184,2.9398,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer_v31_execution_constrained.json
133.525,v29_price_meta_balanced_carry_floor,V29-dynamic-sleeve-portfolio-layer,grid_result,True,True,False,2.5173,2.5686,-0.2531,-0.0077,-0.0508,0.5748,0.2319,4.2954,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer.json
133.47,v29_price_meta_balanced_carry_floor,V29-dynamic-sleeve-portfolio-layer-v31-execution-constrained,grid_result,True,True,False,2.4267,2.4991,-0.2722,-0.022,-0.053,0.5715,0.2223,3.9402,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer_v31_execution_constrained.json
131.7705,v29_price_meta_ultradefensive,V29-dynamic-sleeve-portfolio-layer,grid_result,True,True,False,1.6602,2.2868,0.401,-0.0249,-0.1091,0.5655,0.1342,2.9716,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer_coverage500_diagnostic.json
130.786,v29_price_meta_balanced_blended_floor,V29-dynamic-sleeve-portfolio-layer,grid_result,True,True,False,2.4261,2.4817,-0.1547,0.0234,-0.0909,0.5737,0.2661,5.7202,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer.json
129.3548,v29_price_meta_balanced_blended_floor,V29-dynamic-sleeve-portfolio-layer-v31-execution-constrained,grid_result,True,True,False,2.3398,2.4127,-0.1735,0.0105,-0.0951,0.571,0.2554,5.2175,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer_v31_execution_constrained.json
129.3183,v29_price_meta_balanced_crisis,V29-dynamic-sleeve-portfolio-layer,grid_result,True,True,False,2.3728,2.4541,-0.0829,0.0327,-0.1058,0.578,0.272,5.9905,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer.json
129.1432,v29_price_meta_lowvol_blended_floor,V29-dynamic-sleeve-portfolio-layer,grid_result,True,True,False,2.3066,2.4763,-0.0166,-0.0009,-0.0897,0.5731,0.2175,4.0272,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer.json
128.3802,v29_price_meta_lowvol_carry_floor,V29-dynamic-sleeve-portfolio-layer,grid_result,True,True,False,2.1507,2.4698,-0.2504,-0.0706,-0.0589,0.5701,0.1622,4.7726,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer_coverage500_diagnostic.json
127.4335,v29_price_meta_lowvol_blended_floor,V29-dynamic-sleeve-portfolio-layer-v31-execution-constrained,grid_result,True,True,False,2.2278,2.4102,-0.035,-0.0149,-0.0923,0.5705,0.2095,3.7343,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer_v31_execution_constrained.json
127.3326,v29_price_meta_lowvol_carry_floor,V29-dynamic-sleeve-portfolio-layer,grid_result,True,True,False,2.0983,2.5054,-0.0013,-0.1074,-0.0624,0.5644,0.1533,14.6047,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer_20y_diagnostic.json
127.0682,v29_price_meta_balanced_crisis,V29-dynamic-sleeve-portfolio-layer-v31-execution-constrained,grid_result,True,True,False,2.2892,2.3861,-0.1009,0.02,-0.1099,0.5759,0.2613,5.4677,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer_v31_execution_constrained.json
126.3578,v29_price_meta_balanced_carry_floor,V29-dynamic-sleeve-portfolio-layer,grid_result,True,True,False,2.1286,2.462,-0.0884,-0.0898,-0.0856,0.5625,0.1802,22.9904,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer_20y_diagnostic.json
126.3183,v29_alt_meta_research_only,V29-dynamic-sleeve-portfolio-layer,grid_result,False,False,False,2.2191,2.4173,-0.0717,0.0005,-0.1053,0.5705,0.2371,4.7775,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer.json
125.8164,v29_price_meta_lowvol_carry_floor,V29-dynamic-sleeve-portfolio-layer-v31-execution-constrained,grid_result,True,True,False,2.0441,2.46,-0.0404,-0.1215,-0.0712,0.5644,0.1467,12.8855,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer_20y_v31_execution_constrained.json
125.7225,v29_price_meta_aggressive_guarded,V29-dynamic-sleeve-portfolio-layer,grid_result,True,True,False,2.2374,2.3754,-0.1562,0.0127,-0.1091,0.5699,0.2931,7.6419,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer.json
125.5678,v29_price_meta_balanced_carry_floor,V29-dynamic-sleeve-portfolio-layer-v31-execution-constrained,grid_result,True,True,False,2.0865,2.4102,-0.1347,-0.0921,-0.0846,0.5627,0.1738,20.459,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer_20y_v31_execution_constrained.json
124.1425,v29_price_meta_balanced_blended_floor,V29-dynamic-sleeve-portfolio-layer,grid_result,True,True,False,2.0958,2.3782,-0.0121,-0.0495,-0.0957,0.5636,0.2041,35.1474,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer_20y_diagnostic.json
123.4623,v29_alt_meta_research_only,V29-dynamic-sleeve-portfolio-layer-v31-execution-constrained,grid_result,False,False,False,2.1406,2.3581,-0.0821,-0.0148,-0.11,0.5683,0.2279,4.394,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer_v31_execution_constrained.json
122.6184,v29_price_meta_balanced_carry_floor,V29-dynamic-sleeve-portfolio-layer,grid_result,True,True,False,1.9265,2.4398,-0.3174,-0.0479,-0.0717,0.5653,0.1684,4.881,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer_coverage500_diagnostic.json
122.5996,v29_price_meta_lowvol_blended_floor,V29-dynamic-sleeve-portfolio-layer,grid_result,True,True,False,2.0563,2.3432,-0.0711,-0.019,-0.0902,0.5701,0.1816,6.0728,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer_coverage500_diagnostic.json
121.9793,v29_price_meta_aggressive_guarded,V29-dynamic-sleeve-portfolio-layer-v31-execution-constrained,grid_result,True,True,False,2.1508,2.3068,-0.1774,-0.0023,-0.115,0.5689,0.2805,6.8657,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer_v31_execution_constrained.json
121.858,v29_price_meta_balanced_blended_floor,V29-dynamic-sleeve-portfolio-layer-v31-execution-constrained,grid_result,True,True,False,2.0472,2.328,-0.0572,-0.0552,-0.097,0.5638,0.1964,30.5909,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer_20y_v31_execution_constrained.json
121.029,v29_price_meta_lowvol_small_carry_floor,V29-dynamic-sleeve-portfolio-layer,grid_result,True,True,False,2.0274,2.3249,-0.0267,-0.0131,-0.098,0.5709,0.184,6.2453,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer_coverage500_diagnostic.json
120.7088,v29_price_meta_lowvol_micro_carry_floor,V29-dynamic-sleeve-portfolio-layer,grid_result,True,True,False,2.0212,2.3211,-0.0181,-0.0119,-0.0995,0.5712,0.1845,6.2791,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer_coverage500_diagnostic.json
118.6171,v29_price_meta_aggressive_guarded,V29-dynamic-sleeve-portfolio-layer,grid_result,True,True,False,2.0059,2.2777,-0.0339,-0.0405,-0.1133,0.5639,0.2347,63.0623,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer_20y_diagnostic.json
118.1285,v29_price_meta_balanced_blended_floor,V29-dynamic-sleeve-portfolio-layer,grid_result,True,True,False,1.8552,2.3465,-0.2266,-0.0204,-0.0949,0.5653,0.189,6.2407,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer_coverage500_diagnostic.json
117.2944,v29_alt_meta_research_only,V29-dynamic-sleeve-portfolio-layer,grid_result,False,False,False,1.9637,2.2428,-0.0862,-0.016,-0.1033,0.5676,0.1941,7.0346,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer_coverage500_diagnostic.json
116.9618,v29_price_meta_aggressive_guarded,V29-dynamic-sleeve-portfolio-layer,grid_result,True,True,False,2.011,2.2192,-0.3285,-0.0096,-0.1145,0.568,0.2453,12.7157,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer_coverage500_diagnostic.json
115.8847,v29_price_meta_aggressive_guarded,V29-dynamic-sleeve-portfolio-layer-v31-execution-constrained,grid_result,True,True,False,1.9455,2.2281,-0.0874,-0.0491,-0.1185,0.5635,0.224,51.9686,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer_20y_v31_execution_constrained.json
115.8637,v29_price_meta_balanced_crisis,V29-dynamic-sleeve-portfolio-layer,grid_result,True,True,False,1.8254,2.3189,-0.1526,-0.0096,-0.1095,0.5668,0.193,6.5317,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer_coverage500_diagnostic.json
66.4367,v28_ic_adaptive_crisis_lowvol_freq10,V28-factor-direction,grid_result,True,False,False,0.8762,1.1163,-0.8833,-0.0385,-0.1058,0.5619,0.1002,1.1732,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v28_factor_direction.json
65.7373,v28_ic_adaptive_crisis_freq10,V28-factor-direction,grid_result,True,False,False,1.0606,1.2153,-1.0366,-0.0857,-0.2321,0.5664,0.1928,3.2581,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v28_factor_direction.json
65.4834,v28_ic_adaptive_guarded_freq10,V28-factor-direction,grid_result,True,False,False,0.9515,1.1031,-0.9747,-0.0275,-0.14,0.5604,0.1301,1.7092,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v28_factor_direction.json
65.3017,v28_ic_adaptive_crisis_dd_cap_freq10,V28-factor-direction,grid_result,True,False,False,1.0256,0.9988,-1.1098,-0.0311,-0.1269,0.5634,0.1347,1.8193,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v28_factor_direction.json
64.1808,v28_ic_adaptive_defensive_freq20,V28-factor-direction,grid_result,True,False,False,0.7996,1.1189,-0.9536,-0.0536,-0.1186,0.5565,0.1034,1.2088,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v28_factor_direction.json
63.8327,V12-industry-rotation-defensive-overlay,V12-industry-rotation-defensive-overlay,research_finalist,True,False,False,0.8558,1.0793,-0.5995,-0.2667,-0.1342,0.4703,0.08,4.7129,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v12_industry_rotation.json
61.8382,v28_ic_adaptive_crisis_balanced_freq10,V28-factor-direction,grid_result,True,False,False,0.9464,0.9953,-1.0367,0.0579,-0.1405,0.5624,0.1325,1.7538,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v28_factor_direction.json
61.3324,v28_ic_adaptive_crisis_freq5,V28-factor-direction,grid_result,True,False,False,0.8669,1.144,-1.2384,-0.274,-0.2368,0.557,0.1645,2.3802,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v28_factor_direction.json
60.7569,v28_alt_ic_adaptive_guarded_freq10,V28-factor-direction,grid_result,False,False,False,0.8507,0.9624,-1.0496,-0.1784,-0.148,0.5535,0.1146,1.4022,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v28_factor_direction.json
60.3042,v28_ic_adaptive_market_neutral_freq10,V28-factor-direction,grid_result,False,False,False,0.6122,1.048,-0.3901,-0.3452,-0.126,0.5229,0.0797,0.838,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v28_factor_direction.json
55.8682,V13-regime-industry-rotation,V13-regime-industry-rotation,research_finalist,True,False,False,0.9854,0.8194,-0.8778,0.201,-0.1273,0.4751,0.09,6.1381,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v13_regime_industry_rotation.json
55.7842,moe_more_exposure,V16-multi-expert-regime-router-finalist,research_finalist,True,False,False,1.0328,0.8151,-1.0347,0.2474,-0.1358,0.4756,0.1159,11.2682,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v16_moe_more_exposure_finalist.json
55.7029,V15-earnings-events-finalist,V15-earnings-events-finalist,research_finalist,True,False,False,1.0325,0.8057,-0.9343,0.2344,-0.1349,0.4744,0.1007,7.9568,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v15_earnings_events_finalist.json
53.8382,v18_revision_stable_freq10,V17-alt-data-crisis-alpha-finalist,research_finalist,True,False,False,1.0346,0.7558,-1.0059,0.2983,-0.1359,0.4763,0.1163,11.3489,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v17_v18_revision_stable_freq10_finalist.json
53.5258,v28_anti_momentum_lowvol_guarded_freq10,V28-factor-direction,grid_result,True,False,False,0.8368,0.7983,-1.0893,0.0991,-0.1509,0.559,0.1167,1.4349,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v28_factor_direction.json
52.8095,V14-industry-relative-alpha-more-exposure-finalist,V14-industry-relative-alpha-more-exposure-finalist,research_finalist,True,False,False,1.0434,0.7224,-0.8235,0.3344,-0.136,0.4758,0.1191,12.1075,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v14_more_exposure_finalist.json
50.0433,V13-regime-industry-rotation-more-names-finalist,V13-regime-industry-rotation-more-names-finalist,research_finalist,True,False,False,1.0228,0.6672,-0.9689,0.3801,-0.1435,0.4733,0.1202,12.3523,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v13_more_names_finalist.json
49.5089,v28_alt_ic_adaptive_market_neutral_freq10,V28-factor-direction,grid_result,False,False,False,0.4685,0.7145,-0.4881,-0.6397,-0.1409,0.517,0.0705,0.697,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v28_factor_direction.json
46.4705,v28_ic_adaptive_market_neutral_freq5,V28-factor-direction,grid_result,False,False,False,0.4692,0.7947,-0.4659,-1.14,-0.2252,0.517,0.0736,0.7308,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v28_factor_direction.json
43.4374,V11-defensive-cash-gold-overlay-finalist,V11-defensive-cash-gold-overlay-finalist,research_finalist,True,False,False,0.9485,0.3808,-1.4144,0.6177,-0.1047,0.5808,0.0876,5.7554,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v11_defensive_finalist.json
40.8394,v28_lowvol_liquidity_crisis_freq10,V28-factor-direction,grid_result,True,False,False,0.4679,0.6861,-1.035,-0.2037,-0.2345,0.5486,0.0899,0.9056,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v28_factor_direction.json
37.9262,v18_revision_stable_freq10,V17-alt-data-crisis-alpha-grid,grid_result,True,False,False,1.0346,,,,-0.1359,0.4763,0.1163,11.3489,0,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v17_alt_data_grid.json
37.9262,v18_revision_stable_freq10,V17-alt-data-crisis-alpha-grid,grid_result,True,False,False,1.0346,,,,-0.1359,0.4763,0.1163,11.3489,0,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v19_reentry_grid.json
37.8807,moe_more_exposure,V16-multi-expert-regime-router-grid,grid_result,True,False,False,1.0328,,,,-0.1358,0.4756,0.1159,11.2682,0,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v16_moe_router_grid.json
37.8807,v17_v16_comparable,V17-alt-data-crisis-alpha-grid,grid_result,True,False,False,1.0328,,,,-0.1358,0.4756,0.1159,11.2682,0,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v17_alt_data_grid_v20_archive_probe.json
37.8807,v17_v16_comparable,V17-alt-data-crisis-alpha-grid,grid_result,True,False,False,1.0328,,,,-0.1358,0.4756,0.1159,11.2682,0,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v17_alt_data_grid_v21_archive_probe.json
37.8672,event_w_015,V15-earnings-events-grid,grid_result,True,False,False,1.0311,,,,-0.1349,0.474,0.1006,7.935,0,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v15_earnings_events_grid.json
