name,industry,production,sharpe,annual_return,mdd,win_rate,oos,min_oos,decay,avg_stock_exposure,avg_crisis_weight,avg_carry_weight
v32_scan_balanced_crisis_g0.66_v0.135_c0.86_k0.14,False,True,2.0123,0.1918,-0.0972,0.5643,2.2919,-0.0684,-0.0568,0.3656,0.5456,0.0888
v32_scan_balanced_crisis_g0.66_v0.140_c1.00_k0.00,False,True,2.0082,0.1991,-0.1078,0.5641,2.2803,-0.0167,-0.0481,0.3764,0.6236,0.0
v32_scan_balanced_crisis_g0.66_v0.135_c0.90_k0.10,False,True,2.008,0.1924,-0.0994,0.5645,2.2889,-0.0549,-0.0557,0.3656,0.571,0.0634
v32_scan_balanced_crisis_g0.64_v0.150_c1.00_k0.00,False,True,2.0077,0.2028,-0.1087,0.5636,2.2656,-0.0031,-0.0481,0.3856,0.6144,0.0
v32_scan_balanced_crisis_g0.64_v0.140_c0.82_k0.18,False,True,2.0071,0.1907,-0.0944,0.5638,2.2887,-0.0861,-0.0591,0.3666,0.5194,0.114
v32_scan_balanced_crisis_g0.62_v0.145_c0.75_k0.25,False,True,2.007,0.1891,-0.0895,0.5629,2.287,-0.1109,-0.0662,0.3662,0.4754,0.1585
v32_scan_balanced_crisis_g0.64_v0.145_c0.95_k0.05,False,True,2.0059,0.1976,-0.1042,0.5634,2.2792,-0.032,-0.0533,0.3763,0.5925,0.0312
v32_scan_balanced_crisis_g0.64_v0.135_c0.75_k0.25,False,True,2.0053,0.1848,-0.0884,0.5627,2.292,-0.1181,-0.0654,0.3562,0.4829,0.161
v32_scan_balanced_crisis_g0.64_v0.140_c0.86_k0.14,False,True,2.0022,0.1912,-0.0974,0.5638,2.284,-0.0723,-0.0571,0.3666,0.5447,0.0887
v32_scan_lowvol_blended_floor_g0.62_v0.130_c0.95_k0.05,False,True,2.0019,0.1804,-0.1009,0.5648,2.33,0.0965,-0.0524,0.3296,0.6368,0.0335
v32_scan_balanced_crisis_g0.66_v0.135_c0.95_k0.05,False,True,2.0002,0.1929,-0.1032,0.5641,2.281,-0.0382,-0.0527,0.3655,0.6027,0.0317
v32_scan_balanced_crisis_g0.62_v0.150_c0.75_k0.25,False,True,1.9995,0.1922,-0.0903,0.5634,2.2694,-0.1259,-0.0685,0.375,0.4687,0.1562
v32_scan_lowvol_recent_guard_g0.58_v0.120_c0.82_k0.18,False,True,1.9993,0.1603,-0.0895,0.5646,2.3682,0.182,-0.0674,0.2844,0.5868,0.1288
v32_scan_balanced_crisis_g0.62_v0.145_c0.82_k0.18,False,True,1.9989,0.1899,-0.0946,0.5638,2.2784,-0.0863,-0.0622,0.3661,0.5198,0.1141
v32_scan_balanced_crisis_g0.64_v0.145_c1.00_k0.00,False,True,1.9979,0.1981,-0.108,0.5638,2.2709,-0.016,-0.0502,0.3763,0.6237,0.0
v32_scan_lowvol_recent_guard_g0.58_v0.115_c0.75_k0.25,False,True,1.9977,0.1541,-0.0833,0.5652,2.3857,0.1915,-0.0746,0.2737,0.5447,0.1816
v32_scan_balanced_crisis_g0.64_v0.140_c0.90_k0.10,False,True,1.9975,0.1917,-0.0996,0.5638,2.2799,-0.0587,-0.0556,0.3665,0.5701,0.0633
v32_scan_lowvol_recent_guard_g0.60_v0.120_c0.90_k0.10,False,True,1.997,0.1658,-0.0965,0.5646,2.367,0.2172,-0.0659,0.293,0.6363,0.0707
v32_scan_balanced_crisis_g0.64_v0.135_c0.82_k0.18,False,True,1.9963,0.1856,-0.0936,0.5638,2.282,-0.0929,-0.0609,0.3562,0.5279,0.1159
v32_scan_balanced_crisis_g0.62_v0.140_c0.75_k0.25,False,True,1.9956,0.1842,-0.0886,0.5629,2.2829,-0.1229,-0.0668,0.3563,0.4828,0.1609
v32_scan_lowvol_blended_floor_g0.62_v0.125_c0.90_k0.10,False,True,1.9944,0.1743,-0.0972,0.5648,2.3336,0.1009,-0.0569,0.3187,0.6131,0.0681
v32_scan_balanced_crisis_g0.62_v0.145_c0.86_k0.14,False,True,1.9941,0.1904,-0.0976,0.5634,2.2738,-0.0725,-0.0602,0.3661,0.5451,0.0887
v32_scan_balanced_crisis_g0.62_v0.150_c0.82_k0.18,False,True,1.9941,0.1932,-0.0954,0.5632,2.2685,-0.0717,-0.0661,0.375,0.5125,0.1125
v32_scan_lowvol_blended_floor_g0.60_v0.130_c0.86_k0.14,False,True,1.9932,0.1735,-0.094,0.5657,2.3275,0.0569,-0.0593,0.3201,0.5847,0.0952
v32_scan_balanced_crisis_g0.66_v0.135_c1.00_k0.00,False,True,1.9923,0.1935,-0.1071,0.5641,2.2741,-0.0217,-0.05,0.3655,0.6345,0.0
v32_scan_lowvol_recent_guard_g0.60_v0.115_c0.90_k0.10,False,True,1.9922,0.1616,-0.0965,0.5644,2.3686,0.2547,-0.0614,0.2824,0.6459,0.0718
v32_scan_lowvol_blended_floor_g0.62_v0.120_c0.82_k0.18,False,True,1.9922,0.1678,-0.0905,0.5655,2.3461,0.0951,-0.0685,0.3077,0.5677,0.1246
v32_scan_lowvol_blended_floor_g0.62_v0.130_c1.00_k0.00,False,True,1.9917,0.181,-0.1051,0.5648,2.3216,0.1135,-0.0496,0.3296,0.6704,0.0
v32_scan_balanced_crisis_g0.64_v0.135_c0.86_k0.14,False,True,1.991,0.1861,-0.0966,0.5643,2.2771,-0.0786,-0.0588,0.3562,0.5537,0.0901
v32_scan_lowvol_blended_floor_g0.58_v0.130_c0.75_k0.25,False,True,1.9909,0.1667,-0.0849,0.5648,2.3278,0.005,-0.0682,0.3107,0.517,0.1723
v32_scan_lowvol_recent_guard_g0.60_v0.110_c0.82_k0.18,False,True,1.9904,0.1549,-0.0894,0.5648,2.3854,0.2503,-0.0704,0.2714,0.5974,0.1311
v32_scan_balanced_crisis_g0.64_v0.140_c0.95_k0.05,False,True,1.9903,0.1923,-0.1034,0.5638,2.2735,-0.0419,-0.053,0.3665,0.6018,0.0317
v32_scan_lowvol_blended_floor_g0.62_v0.115_c0.75_k0.25,False,True,1.9897,0.1613,-0.0845,0.5655,2.361,0.1055,-0.0756,0.2963,0.5278,0.1759
v32_scan_lowvol_recent_guard_g0.58_v0.120_c0.86_k0.14,False,True,1.9896,0.1608,-0.0931,0.5646,2.3594,0.1974,-0.0647,0.2843,0.6155,0.1002
v32_scan_balanced_crisis_g0.62_v0.145_c0.90_k0.10,False,True,1.9895,0.1909,-0.0997,0.5636,2.2698,-0.0588,-0.0588,0.3661,0.5705,0.0634
v32_scan_balanced_crisis_g0.62_v0.150_c0.86_k0.14,False,True,1.989,0.1936,-0.0984,0.5636,2.2626,-0.0583,-0.0637,0.375,0.5375,0.0875
v32_scan_lowvol_recent_guard_g0.56_v0.120_c0.75_k0.25,False,True,1.9889,0.154,-0.0833,0.5655,2.3664,0.1471,-0.0752,0.2755,0.5434,0.1811
v32_scan_balanced_crisis_g0.62_v0.140_c0.82_k0.18,False,True,1.9867,0.185,-0.0938,0.5634,2.2731,-0.0975,-0.0623,0.3563,0.5278,0.1159
v32_scan_lowvol_blended_floor_g0.60_v0.130_c0.90_k0.10,False,True,1.9858,0.174,-0.0973,0.5648,2.3211,0.0716,-0.057,0.3201,0.6119,0.068
v32_scan_balanced_crisis_g0.64_v0.135_c0.90_k0.10,False,True,1.9854,0.1866,-0.0995,0.5643,2.2721,-0.0646,-0.0567,0.3562,0.5795,0.0644
v32_scan_balanced_crisis_g0.62_v0.150_c0.90_k0.10,False,True,1.9854,0.1941,-0.1005,0.5636,2.2604,-0.0451,-0.0628,0.375,0.5625,0.0625
v32_scan_lowvol_blended_floor_g0.60_v0.125_c0.75_k0.25,False,True,1.9852,0.1659,-0.0847,0.565,2.342,0.0359,-0.0758,0.3094,0.5179,0.1726
v32_scan_lowvol_blended_floor_g0.62_v0.125_c0.95_k0.05,False,True,1.9851,0.175,-0.101,0.5644,2.3267,0.1186,-0.0547,0.3187,0.6472,0.0341
v32_scan_lowvol_recent_guard_g0.60_v0.120_c0.95_k0.05,False,True,1.9847,0.1666,-0.1005,0.5648,2.3581,0.2348,-0.0631,0.2929,0.6717,0.0354
v32_scan_lowvol_blended_floor_g0.62_v0.120_c0.86_k0.14,False,True,1.984,0.1683,-0.0939,0.565,2.3381,0.1101,-0.0655,0.3077,0.5954,0.0969
v32_scan_balanced_crisis_g0.64_v0.140_c1.00_k0.00,False,True,1.9825,0.1929,-0.1072,0.5638,2.2666,-0.0254,-0.0503,0.3665,0.6335,0.0
v32_scan_balanced_crisis_g0.62_v0.145_c0.95_k0.05,False,True,1.9823,0.1915,-0.1035,0.5636,2.2636,-0.042,-0.0563,0.3661,0.6022,0.0317
v32_scan_balanced_crisis_g0.62_v0.140_c0.86_k0.14,False,True,1.9816,0.1855,-0.0968,0.5641,2.2684,-0.0832,-0.0602,0.3563,0.5536,0.0901
v32_scan_lowvol_recent_guard_g0.58_v0.115_c0.82_k0.18,False,True,1.9809,0.1551,-0.0895,0.5646,2.3702,0.2196,-0.0694,0.2737,0.5956,0.1307
v32_scan_lowvol_blended_floor_g0.58_v0.130_c0.82_k0.18,False,True,1.9799,0.1678,-0.0907,0.5655,2.3186,0.0329,-0.0649,0.3106,0.5653,0.1241
v32_scan_balanced_crisis_g0.62_v0.135_c0.75_k0.25,False,True,1.9799,0.1789,-0.0878,0.5629,2.2763,-0.1303,-0.0688,0.3464,0.4902,0.1634
v32_scan_lowvol_recent_guard_g0.60_v0.110_c0.86_k0.14,False,True,1.9796,0.1554,-0.093,0.5646,2.3759,0.2656,-0.0676,0.2714,0.6266,0.102
v32_scan_lowvol_recent_guard_g0.58_v0.120_c0.90_k0.10,False,True,1.9796,0.1613,-0.0966,0.5648,2.3513,0.2123,-0.0621,0.2843,0.6441,0.0716
v32_scan_lowvol_recent_guard_g0.60_v0.115_c0.95_k0.05,False,True,1.9793,0.1624,-0.1006,0.565,2.3602,0.2724,-0.0589,0.2823,0.6818,0.0359
v32_scan_balanced_crisis_g0.62_v0.150_c0.95_k0.05,False,True,1.9787,0.1947,-0.1043,0.5634,2.2545,-0.0288,-0.0603,0.375,0.5938,0.0313
v32_scan_balanced_crisis_g0.64_v0.135_c0.95_k0.05,False,True,1.9783,0.1873,-0.1027,0.5638,2.2661,-0.0472,-0.0546,0.3561,0.6117,0.0322
v32_scan_lowvol_blended_floor_g0.62_v0.115_c0.82_k0.18,False,True,1.977,0.1624,-0.0904,0.565,2.3498,0.133,-0.0717,0.2963,0.5771,0.1267
v32_scan_lowvol_blended_floor_g0.60_v0.130_c0.95_k0.05,False,True,1.9767,0.1747,-0.101,0.5646,2.3145,0.0896,-0.055,0.32,0.646,0.034
v32_scan_lowvol_recent_guard_g0.60_v0.105_c0.75_k0.25,False,True,1.9766,0.1476,-0.0831,0.5646,2.3962,0.2369,-0.0789,0.2596,0.5553,0.1851
v32_scan_balanced_crisis_g0.62_v0.140_c0.90_k0.10,False,True,1.976,0.186,-0.0997,0.5638,2.2635,-0.0691,-0.0582,0.3563,0.5793,0.0644
v32_scan_lowvol_blended_floor_g0.62_v0.120_c0.90_k0.10,False,True,1.9758,0.1688,-0.0972,0.5648,2.3311,0.1249,-0.0631,0.3077,0.6231,0.0692
v32_scan_balanced_crisis_g0.62_v0.145_c1.00_k0.00,False,True,1.9746,0.1921,-0.1073,0.5638,2.2569,-0.0254,-0.0536,0.3661,0.6339,0.0
v32_scan_lowvol_blended_floor_g0.62_v0.125_c1.00_k0.00,False,True,1.9743,0.1756,-0.1052,0.5644,2.3182,0.1359,-0.0519,0.3187,0.6813,0.0
v32_scan_lowvol_blended_floor_g0.60_v0.125_c0.82_k0.18,False,True,1.9742,0.1669,-0.0906,0.5655,2.3324,0.0634,-0.0723,0.3094,0.5663,0.1243
v32_scan_lowvol_recent_guard_g0.56_v0.120_c0.82_k0.18,False,True,1.9725,0.155,-0.0896,0.5644,2.3516,0.1759,-0.0702,0.2755,0.5941,0.1304
v32_scan_lowvol_recent_guard_g0.60_v0.120_c1.00_k0.00,False,True,1.9724,0.1673,-0.1041,0.5652,2.35,0.2518,-0.0609,0.2929,0.7071,0.0
v32_scan_lowvol_recent_guard_g0.58_v0.110_c0.75_k0.25,False,True,1.9722,0.1484,-0.0832,0.5648,2.3853,0.2164,-0.0802,0.2628,0.5529,0.1843
v32_scan_lowvol_blended_floor_g0.58_v0.130_c0.86_k0.14,False,True,1.972,0.1682,-0.094,0.5659,2.311,0.0484,-0.062,0.3106,0.5929,0.0965
v32_scan_balanced_crisis_g0.62_v0.150_c1.00_k0.00,False,True,1.9718,0.1953,-0.108,0.5638,2.2487,-0.0127,-0.058,0.375,0.625,0.0
v32_scan_balanced_crisis_g0.62_v0.135_c0.82_k0.18,False,True,1.9705,0.1797,-0.093,0.5641,2.2662,-0.1041,-0.0642,0.3463,0.536,0.1177
v32_scan_lowvol_recent_guard_g0.58_v0.115_c0.86_k0.14,False,True,1.9704,0.1556,-0.0931,0.5648,2.361,0.235,-0.0666,0.2737,0.6246,0.1017
v32_scan_balanced_crisis_g0.64_v0.135_c1.00_k0.00,False,True,1.97,0.1879,-0.1065,0.5641,2.2591,-0.0302,-0.0519,0.3561,0.6439,0.0
v32_scan_lowvol_blended_floor_g0.58_v0.125_c0.75_k0.25,False,True,1.9691,0.1612,-0.0847,0.565,2.3256,0.0262,-0.072,0.3004,0.5247,0.1749
v32_scan_balanced_crisis_g0.62_v0.140_c0.95_k0.05,False,True,1.969,0.1866,-0.1028,0.5638,2.2577,-0.0517,-0.0562,0.3563,0.6116,0.0322
v32_scan_lowvol_recent_guard_g0.60_v0.110_c0.90_k0.10,False,True,1.9685,0.156,-0.0966,0.565,2.3672,0.2804,-0.065,0.2714,0.6557,0.0729
v32_scan_lowvol_blended_floor_g0.60_v0.120_c0.75_k0.25,False,True,1.9684,0.1606,-0.0846,0.5655,2.3408,0.0591,-0.0795,0.2986,0.526,0.1753
v32_scan_lowvol_blended_floor_g0.62_v0.115_c0.86_k0.14,False,True,1.9681,0.1629,-0.0938,0.5646,2.3412,0.1483,-0.0686,0.2962,0.6052,0.0985
v32_scan_lowvol_recent_guard_g0.58_v0.120_c0.95_k0.05,False,True,1.9667,0.1621,-0.1006,0.5652,2.3424,0.2305,-0.0594,0.2842,0.68,0.0358
v32_scan_lowvol_blended_floor_g0.60_v0.125_c0.86_k0.14,False,True,1.9662,0.1674,-0.094,0.5657,2.3246,0.0787,-0.0693,0.3094,0.5939,0.0967
v32_scan_lowvol_blended_floor_g0.60_v0.130_c1.00_k0.00,False,True,1.9661,0.1754,-0.1052,0.5646,2.3062,0.1072,-0.0522,0.32,0.68,0.0
v32_scan_lowvol_blended_floor_g0.62_v0.120_c0.95_k0.05,False,True,1.9658,0.1695,-0.101,0.5646,2.3238,0.1429,-0.0609,0.3077,0.6577,0.0346
