date,close_count,warmup_eligible_count,close_coverage_ratio
2009-07-30,614,602,0.392332
2009-07-31,614,602,0.392332
2009-08-03,614,604,0.392332
2009-08-04,614,604,0.392332
2009-08-05,614,604,0.392332
2009-08-06,614,604,0.392332
2009-08-07,614,604,0.392332
2009-08-10,614,604,0.392332
2009-08-11,614,604,0.392332
2009-08-12,614,604,0.392332
2009-08-13,614,604,0.392332
2009-08-14,614,604,0.392332
2009-08-17,614,606,0.392332
2009-08-18,615,606,0.392971
2009-08-19,615,606,0.392971
2009-08-20,615,607,0.392971
2009-08-21,616,607,0.39361
2009-08-24,616,608,0.39361
2009-08-25,616,608,0.39361
2009-08-26,616,608,0.39361
2009-08-27,616,609,0.39361
2009-08-28,617,609,0.394249
2009-08-31,617,609,0.394249
2009-09-01,617,609,0.394249
2009-09-02,617,609,0.394249
2009-09-03,617,609,0.394249
2009-09-04,617,609,0.394249
2009-09-07,617,609,0.394249
2009-09-08,617,609,0.394249
2009-09-09,617,609,0.394249
2009-09-10,618,609,0.394888
2009-09-11,618,609,0.394888
2009-09-14,618,609,0.394888
2009-09-15,618,609,0.394888
2009-09-16,618,609,0.394888
2009-09-17,618,609,0.394888
2009-09-18,618,609,0.394888
2009-09-21,619,610,0.395527
2009-09-22,619,610,0.395527
2009-09-23,619,610,0.395527
2009-09-24,619,610,0.395527
2009-09-25,619,610,0.395527
2009-09-28,619,610,0.395527
2009-09-29,619,611,0.395527
2009-09-30,619,611,0.395527
2009-10-09,619,611,0.395527
2009-10-12,619,611,0.395527
2009-10-13,619,611,0.395527
2009-10-14,619,611,0.395527
2009-10-15,620,611,0.396166
2009-10-16,620,611,0.396166
2009-10-19,620,611,0.396166
2009-10-20,620,611,0.396166
2009-10-21,621,611,0.396805
2009-10-22,621,611,0.396805
2009-10-23,621,611,0.396805
2009-10-26,621,611,0.396805
2009-10-27,621,611,0.396805
2009-10-28,621,611,0.396805
2009-10-29,621,611,0.396805
2009-10-30,633,611,0.404473
2009-11-02,633,611,0.404473
2009-11-03,633,611,0.404473
2009-11-04,633,611,0.404473
2009-11-05,633,611,0.404473
2009-11-06,634,611,0.405112
2009-11-09,634,611,0.405112
2009-11-10,634,611,0.405112
2009-11-11,634,611,0.405112
2009-11-12,634,611,0.405112
2009-11-13,634,611,0.405112
2009-11-16,634,611,0.405112
2009-11-17,635,611,0.405751
2009-11-18,635,611,0.405751
2009-11-19,635,611,0.405751
2009-11-20,635,611,0.405751
2009-11-23,635,611,0.405751
2009-11-24,635,611,0.405751
2009-11-25,635,611,0.405751
2009-11-26,635,611,0.405751
2009-11-27,636,611,0.40639
2009-11-30,636,611,0.40639
2009-12-01,636,611,0.40639
2009-12-02,636,611,0.40639
2009-12-03,637,611,0.407029
2009-12-04,637,611,0.407029
2009-12-07,637,611,0.407029
2009-12-08,637,611,0.407029
2009-12-09,637,611,0.407029
2009-12-10,637,611,0.407029
2009-12-11,639,611,0.408307
2009-12-14,639,611,0.408307
2009-12-15,639,611,0.408307
2009-12-16,640,611,0.408946
2009-12-17,640,611,0.408946
2009-12-18,640,611,0.408946
2009-12-21,640,611,0.408946
2009-12-22,640,611,0.408946
2009-12-23,640,611,0.408946
2009-12-24,640,611,0.408946
2009-12-25,646,611,0.41278
2009-12-28,646,611,0.41278
2009-12-29,646,611,0.41278
2009-12-30,646,611,0.41278
2009-12-31,646,611,0.41278
2010-01-04,646,611,0.41278
2010-01-05,646,611,0.41278
2010-01-06,646,611,0.41278
2010-01-07,647,611,0.413419
2010-01-08,648,611,0.414058
2010-01-11,648,611,0.414058
2010-01-12,649,611,0.414696
2010-01-13,650,611,0.415335
2010-01-14,650,611,0.415335
2010-01-15,651,611,0.415974
2010-01-18,652,611,0.416613
2010-01-19,652,611,0.416613
2010-01-20,653,611,0.417252
2010-01-21,654,611,0.417891
2010-01-22,655,611,0.41853
2010-01-25,655,611,0.41853
2010-01-26,655,611,0.41853
2010-01-27,655,611,0.41853
2010-01-28,657,611,0.419808
2010-01-29,657,611,0.419808
2010-02-01,657,611,0.419808
2010-02-02,657,611,0.419808
2010-02-03,657,611,0.419808
2010-02-04,657,611,0.419808
2010-02-05,660,611,0.421725
2010-02-08,660,611,0.421725
2010-02-09,661,611,0.422364
2010-02-10,661,611,0.422364
2010-02-11,662,611,0.423003
2010-02-12,662,611,0.423003
2010-02-22,662,611,0.423003
2010-02-23,663,611,0.423642
2010-02-24,663,611,0.423642
2010-02-25,663,611,0.423642
2010-02-26,665,611,0.42492
2010-03-01,665,611,0.42492
2010-03-02,665,611,0.42492
2010-03-03,665,611,0.42492
2010-03-04,665,611,0.42492
2010-03-05,666,611,0.425559
2010-03-08,666,611,0.425559
2010-03-09,666,611,0.425559
2010-03-10,666,611,0.425559
2010-03-11,666,611,0.425559
2010-03-12,667,611,0.426198
2010-03-15,667,611,0.426198
