panel,offset,max_symbols,missing_symbols,first_code,last_code,command,start,end,missing_dates,cadence
flow,505.0,25.0,25.0,300953,301217,env QUANT_FLOW_SKIP_EXISTING=1 QUANT_FLOW_COMBINE_ALL_EXISTING=1 QUANT_FLOW_FETCH_NORTHBOUND_AGGREGATE=0 QUANT_FLOW_FETCH_NORTHBOUND_HOLDINGS=1 QUANT_FLOW_FETCH_MAIN_FUND=0 QUANT_FLOW_FETCH_BIG_DEAL=0 QUANT_FLOW_FETCH_FUND_FLOW_RANKS=0 QUANT_FLOW_FETCH_MARGIN_DETAILS=0 QUANT_FLOW_SYMBOL_OFFSET=505 QUANT_FLOW_MAX_SYMBOLS=25 .venv/bin/python scripts/fetch_flow_signals.py,,,,
flow,530.0,25.0,25.0,301219,301522,env QUANT_FLOW_SKIP_EXISTING=1 QUANT_FLOW_COMBINE_ALL_EXISTING=1 QUANT_FLOW_FETCH_NORTHBOUND_AGGREGATE=0 QUANT_FLOW_FETCH_NORTHBOUND_HOLDINGS=1 QUANT_FLOW_FETCH_MAIN_FUND=0 QUANT_FLOW_FETCH_BIG_DEAL=0 QUANT_FLOW_FETCH_FUND_FLOW_RANKS=0 QUANT_FLOW_FETCH_MARGIN_DETAILS=0 QUANT_FLOW_SYMBOL_OFFSET=530 QUANT_FLOW_MAX_SYMBOLS=25 .venv/bin/python scripts/fetch_flow_signals.py,,,,
flow,555.0,25.0,25.0,301536,600021,env QUANT_FLOW_SKIP_EXISTING=1 QUANT_FLOW_COMBINE_ALL_EXISTING=1 QUANT_FLOW_FETCH_NORTHBOUND_AGGREGATE=0 QUANT_FLOW_FETCH_NORTHBOUND_HOLDINGS=1 QUANT_FLOW_FETCH_MAIN_FUND=0 QUANT_FLOW_FETCH_BIG_DEAL=0 QUANT_FLOW_FETCH_FUND_FLOW_RANKS=0 QUANT_FLOW_FETCH_MARGIN_DETAILS=0 QUANT_FLOW_SYMBOL_OFFSET=555 QUANT_FLOW_MAX_SYMBOLS=25 .venv/bin/python scripts/fetch_flow_signals.py,,,,
flow,580.0,25.0,25.0,600022,600123,env QUANT_FLOW_SKIP_EXISTING=1 QUANT_FLOW_COMBINE_ALL_EXISTING=1 QUANT_FLOW_FETCH_NORTHBOUND_AGGREGATE=0 QUANT_FLOW_FETCH_NORTHBOUND_HOLDINGS=1 QUANT_FLOW_FETCH_MAIN_FUND=0 QUANT_FLOW_FETCH_BIG_DEAL=0 QUANT_FLOW_FETCH_FUND_FLOW_RANKS=0 QUANT_FLOW_FETCH_MARGIN_DETAILS=0 QUANT_FLOW_SYMBOL_OFFSET=580 QUANT_FLOW_MAX_SYMBOLS=25 .venv/bin/python scripts/fetch_flow_signals.py,,,,
flow,605.0,25.0,25.0,600125,600216,env QUANT_FLOW_SKIP_EXISTING=1 QUANT_FLOW_COMBINE_ALL_EXISTING=1 QUANT_FLOW_FETCH_NORTHBOUND_AGGREGATE=0 QUANT_FLOW_FETCH_NORTHBOUND_HOLDINGS=1 QUANT_FLOW_FETCH_MAIN_FUND=0 QUANT_FLOW_FETCH_BIG_DEAL=0 QUANT_FLOW_FETCH_FUND_FLOW_RANKS=0 QUANT_FLOW_FETCH_MARGIN_DETAILS=0 QUANT_FLOW_SYMBOL_OFFSET=605 QUANT_FLOW_MAX_SYMBOLS=25 .venv/bin/python scripts/fetch_flow_signals.py,,,,
flow,630.0,25.0,25.0,600217,600339,env QUANT_FLOW_SKIP_EXISTING=1 QUANT_FLOW_COMBINE_ALL_EXISTING=1 QUANT_FLOW_FETCH_NORTHBOUND_AGGREGATE=0 QUANT_FLOW_FETCH_NORTHBOUND_HOLDINGS=1 QUANT_FLOW_FETCH_MAIN_FUND=0 QUANT_FLOW_FETCH_BIG_DEAL=0 QUANT_FLOW_FETCH_FUND_FLOW_RANKS=0 QUANT_FLOW_FETCH_MARGIN_DETAILS=0 QUANT_FLOW_SYMBOL_OFFSET=630 QUANT_FLOW_MAX_SYMBOLS=25 .venv/bin/python scripts/fetch_flow_signals.py,,,,
flow,655.0,25.0,25.0,600348,600456,env QUANT_FLOW_SKIP_EXISTING=1 QUANT_FLOW_COMBINE_ALL_EXISTING=1 QUANT_FLOW_FETCH_NORTHBOUND_AGGREGATE=0 QUANT_FLOW_FETCH_NORTHBOUND_HOLDINGS=1 QUANT_FLOW_FETCH_MAIN_FUND=0 QUANT_FLOW_FETCH_BIG_DEAL=0 QUANT_FLOW_FETCH_FUND_FLOW_RANKS=0 QUANT_FLOW_FETCH_MARGIN_DETAILS=0 QUANT_FLOW_SYMBOL_OFFSET=655 QUANT_FLOW_MAX_SYMBOLS=25 .venv/bin/python scripts/fetch_flow_signals.py,,,,
flow,680.0,25.0,25.0,600458,600546,env QUANT_FLOW_SKIP_EXISTING=1 QUANT_FLOW_COMBINE_ALL_EXISTING=1 QUANT_FLOW_FETCH_NORTHBOUND_AGGREGATE=0 QUANT_FLOW_FETCH_NORTHBOUND_HOLDINGS=1 QUANT_FLOW_FETCH_MAIN_FUND=0 QUANT_FLOW_FETCH_BIG_DEAL=0 QUANT_FLOW_FETCH_FUND_FLOW_RANKS=0 QUANT_FLOW_FETCH_MARGIN_DETAILS=0 QUANT_FLOW_SYMBOL_OFFSET=680 QUANT_FLOW_MAX_SYMBOLS=25 .venv/bin/python scripts/fetch_flow_signals.py,,,,
flow,705.0,25.0,25.0,600549,600618,env QUANT_FLOW_SKIP_EXISTING=1 QUANT_FLOW_COMBINE_ALL_EXISTING=1 QUANT_FLOW_FETCH_NORTHBOUND_AGGREGATE=0 QUANT_FLOW_FETCH_NORTHBOUND_HOLDINGS=1 QUANT_FLOW_FETCH_MAIN_FUND=0 QUANT_FLOW_FETCH_BIG_DEAL=0 QUANT_FLOW_FETCH_FUND_FLOW_RANKS=0 QUANT_FLOW_FETCH_MARGIN_DETAILS=0 QUANT_FLOW_SYMBOL_OFFSET=705 QUANT_FLOW_MAX_SYMBOLS=25 .venv/bin/python scripts/fetch_flow_signals.py,,,,
flow,730.0,25.0,25.0,600621,600718,env QUANT_FLOW_SKIP_EXISTING=1 QUANT_FLOW_COMBINE_ALL_EXISTING=1 QUANT_FLOW_FETCH_NORTHBOUND_AGGREGATE=0 QUANT_FLOW_FETCH_NORTHBOUND_HOLDINGS=1 QUANT_FLOW_FETCH_MAIN_FUND=0 QUANT_FLOW_FETCH_BIG_DEAL=0 QUANT_FLOW_FETCH_FUND_FLOW_RANKS=0 QUANT_FLOW_FETCH_MARGIN_DETAILS=0 QUANT_FLOW_SYMBOL_OFFSET=730 QUANT_FLOW_MAX_SYMBOLS=25 .venv/bin/python scripts/fetch_flow_signals.py,,,,
