name,capital,universe_mode,risk_profile,rank_mode,max_assets,rebalance_freq,risk_gate_passes,small_account_minimum_gate_passes,small_account_executable_gate_passes,long_history_research_gate_passes,sharpe_ratio,annual_return,annual_volatility,max_drawdown,win_rate,total_return,final_nav,avg_holdings,avg_risky_exposure,avg_cash_weight,avg_target_budget,max_target_budget,zero_budget_rebalances,total_fees,fees_pct_initial_capital,orders,avg_oos_sharpe,min_oos_sharpe
v36_regime_expanded_recent_defensive_risk_adjusted_200000_2asset_20d,200000.0,expanded_recent,defensive,risk_adjusted,2,20,True,False,True,False,-0.3748,0.0138,0.03,-0.0618,0.2466,0.1794,235883.85,0.72,0.0729,0.9271,0.0739,0.3991,84,1905.65,0.0095,169,-1.638,-4.3504
v36_regime_expanded_recent_defensive_trend_200000_2asset_40d,200000.0,expanded_recent,defensive,trend,2,40,True,False,True,False,-0.377,0.0147,0.0274,-0.0709,0.2892,0.1936,238726.61,0.88,0.0709,0.9291,0.0694,0.3607,37,958.99,0.0048,98,-4.3351,-11.9486
v36_regime_expanded_recent_balanced_risk_adjusted_50000_2asset_20d,50000.0,expanded_recent,balanced,risk_adjusted,2,20,True,False,True,False,-0.3809,0.0128,0.0321,-0.1061,0.2486,0.1642,58210.28,0.73,0.0587,0.9413,0.064,0.415,78,1017.82,0.0204,167,-2.7525,-4.1556
v36_regime_expanded_recent_defensive_risk_adjusted_100000_2asset_20d,100000.0,expanded_recent,defensive,risk_adjusted,2,20,True,False,True,False,-0.3851,0.0136,0.0296,-0.0619,0.246,0.1769,117690.65,0.71,0.0715,0.9285,0.0739,0.3991,84,1281.35,0.0128,165,-1.6611,-4.404
v36_regime_expanded_recent_defensive_trend_100000_2asset_40d,100000.0,expanded_recent,defensive,trend,2,40,True,False,True,False,-0.3919,0.0143,0.0273,-0.0703,0.2892,0.1885,118854.52,0.88,0.0705,0.9295,0.0694,0.3607,37,706.98,0.0071,99,-4.3964,-12.1492
v36_regime_expanded_recent_defensive_trend_50000_2asset_40d,50000.0,expanded_recent,defensive,trend,2,40,True,False,True,False,-0.4086,0.014,0.0269,-0.0689,0.2889,0.1843,59215.67,0.88,0.0691,0.9309,0.0694,0.3607,37,584.03,0.0117,96,-4.8154,-13.6419
v36_regime_expanded_recent_defensive_risk_adjusted_50000_2asset_20d,50000.0,expanded_recent,defensive,risk_adjusted,2,20,True,False,True,False,-0.4155,0.0129,0.0292,-0.0623,0.2434,0.1665,58324.12,0.71,0.0698,0.9302,0.0739,0.3991,84,1012.18,0.0202,160,-1.7074,-4.4911
v36_regime_core_long_aggressive_risk_adjusted_50000_2asset_40d,50000.0,core_long,aggressive,risk_adjusted,2,40,False,False,True,False,0.214,0.04,0.0703,-0.1902,0.2924,0.5924,79620.24,0.76,0.1235,0.8765,0.1229,0.7999,37,744.56,0.0149,94,-1.6559,-4.1573
v36_regime_core_long_aggressive_risk_adjusted_200000_2asset_40d,200000.0,core_long,aggressive,risk_adjusted,2,40,False,False,True,False,0.2008,0.0393,0.0711,-0.1913,0.2924,0.5764,315279.77,0.76,0.1265,0.8735,0.126,0.7999,37,1965.13,0.0098,95,-1.6176,-4.0649
v36_regime_core_long_aggressive_risk_adjusted_100000_2asset_40d,100000.0,core_long,aggressive,risk_adjusted,2,40,False,False,True,False,0.2,0.0392,0.071,-0.1908,0.2924,0.575,157497.96,0.76,0.1261,0.8739,0.126,0.7999,37,1098.44,0.011,95,-1.6379,-4.1149
v36_regime_core_long_aggressive_trend_200000_1asset_40d,200000.0,core_long,aggressive,trend,1,40,False,False,True,False,0.1776,0.0354,0.0585,-0.1913,0.0782,0.5178,303558.85,0.14,0.055,0.945,0.0528,0.7001,68,679.55,0.0034,16,0.0,0.0
