code,exists,load_error,first_date,last_date,calendar_years,rows_total,rows_in_window,duplicate_dates,missing_columns,close_nan_ratio,volume_nan_ratio,amount_nan_ratio,invalid_close_count,spans_requested_window,strict_20y_quality_ok,path
600143,True,,2004-06-23,2026-05-29,21.93,5187,4837,0,,0.0,0.0,0.0,0,True,True,/Users/jacklondon/Documents/study/lianghua/data/parquet/600143.parquet
002074,True,,2006-10-18,2026-05-29,19.61,4533,4533,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/002074.parquet
600765,True,,2000-01-04,2026-05-29,26.4,6248,4813,0,,0.0,0.0,0.0,0,True,True,/Users/jacklondon/Documents/study/lianghua/data/parquet/600765.parquet
000902,True,,2000-01-04,2026-05-29,26.4,6164,4735,0,,0.0,0.0,0.0,0,True,True,/Users/jacklondon/Documents/study/lianghua/data/parquet/000902.parquet
002120,True,,2007-03-06,2026-05-29,19.23,4546,4546,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/002120.parquet
603882,True,,2017-09-08,2026-05-29,8.72,2113,2113,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/603882.parquet
601900,True,,2016-02-15,2026-05-29,10.28,2382,2382,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/601900.parquet
688484,True,,2023-04-07,2026-05-29,3.14,760,760,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/688484.parquet
300811,True,,2019-12-30,2026-05-29,6.41,1552,1552,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/300811.parquet
300856,True,,2020-07-22,2026-05-29,5.85,1418,1418,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/300856.parquet
600348,True,,2003-08-21,2026-05-29,22.77,5478,4934,0,,0.0,0.0,0.0,0,True,True,/Users/jacklondon/Documents/study/lianghua/data/parquet/600348.parquet
600763,True,,2000-01-04,2026-05-29,26.4,5977,4739,0,,0.0,0.0,0.0,0,True,True,/Users/jacklondon/Documents/study/lianghua/data/parquet/600763.parquet
600285,True,,2000-10-18,2026-05-29,25.61,6111,4866,0,,0.0,0.0,0.0,0,True,True,/Users/jacklondon/Documents/study/lianghua/data/parquet/600285.parquet
000932,True,,2000-01-04,2026-05-29,26.4,6119,4716,0,,0.0,0.0,0.0,0,True,True,/Users/jacklondon/Documents/study/lianghua/data/parquet/000932.parquet
603877,True,,2017-01-09,2026-05-29,9.38,2274,2274,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/603877.parquet
603300,True,,2015-05-29,2026-05-29,11.0,2649,2649,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/603300.parquet
603233,True,,2017-07-31,2026-05-29,8.83,2142,2142,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/603233.parquet
002756,True,,2015-05-15,2026-05-29,11.04,2547,2547,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/002756.parquet
688390,True,,2020-09-04,2026-05-29,5.73,1386,1386,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/688390.parquet
688578,True,,2020-12-02,2026-05-29,5.49,1329,1329,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/688578.parquet
688062,True,,2022-01-18,2026-05-29,4.36,1054,1054,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/688062.parquet
688631,True,,2023-06-28,2026-05-29,2.92,707,707,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/688631.parquet
603588,True,,2014-12-29,2026-05-29,11.41,2669,2669,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/603588.parquet
000513,True,,2000-01-04,2026-05-29,26.4,6087,4661,0,,0.0,0.0,0.0,0,True,True,/Users/jacklondon/Documents/study/lianghua/data/parquet/000513.parquet
600566,True,,2001-08-22,2026-05-29,24.77,5832,4787,0,,0.0,0.0,0.0,0,True,True,/Users/jacklondon/Documents/study/lianghua/data/parquet/600566.parquet
601598,True,,2019-01-18,2026-05-29,7.36,1782,1782,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/601598.parquet
603920,True,,2017-04-26,2026-05-29,9.09,2204,2204,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/603920.parquet
688150,True,,2022-03-18,2026-05-29,4.2,1016,1016,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/688150.parquet
688408,True,,2020-08-28,2026-05-29,5.75,1391,1391,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/688408.parquet
