factor,category,horizon,n_dates,avg_coverage,rank_ic_mean,rank_ic_t,rank_ic_positive_rate,train_ic_mean,test_ic_mean,recommended_direction,oriented_ls_mean,oriented_ls_t,qualified_for_research
analyst_eps_growth_26_vs_25,analyst_consensus,5,0,0.0,,,,,,1,,,False
analyst_eps_growth_26_vs_25,analyst_consensus,10,0,0.0,,,,,,1,,,False
analyst_eps_growth_26_vs_25,analyst_consensus,20,0,0.0,,,,,,1,,,False
analyst_eps_growth_27_vs_26,analyst_consensus,1,0,0.0,,,,,,1,,,False
analyst_eps_growth_27_vs_26,analyst_consensus,5,0,0.0,,,,,,1,,,False
analyst_eps_growth_27_vs_26,analyst_consensus,10,0,0.0,,,,,,1,,,False
analyst_eps_growth_27_vs_26,analyst_consensus,20,0,0.0,,,,,,1,,,False
analyst_downgrade_count,analyst_revision,1,0,0.0,,,,,,1,,,False
analyst_downgrade_count,analyst_revision,5,0,0.0,,,,,,1,,,False
analyst_downgrade_count,analyst_revision,10,0,0.0,,,,,,1,,,False
analyst_downgrade_count,analyst_revision,20,0,0.0,,,,,,1,,,False
northbound_hold_pct,northbound,1,0,0.0,,,,,,1,,,False
northbound_hold_pct,northbound,5,0,0.0,,,,,,1,,,False
northbound_hold_pct,northbound,10,0,0.0,,,,,,1,,,False
northbound_hold_pct,northbound,20,0,0.0,,,,,,1,,,False
northbound_net_buy_amount,northbound,1,0,0.0,,,,,,1,,,False
northbound_net_buy_amount,northbound,5,0,0.0,,,,,,1,,,False
northbound_net_buy_amount,northbound,10,0,0.0,,,,,,1,,,False
northbound_net_buy_amount,northbound,20,0,0.0,,,,,,1,,,False
northbound_hold_pct_change_5d,northbound,1,0,0.0,,,,,,1,,,False
northbound_hold_pct_change_5d,northbound,5,0,0.0,,,,,,1,,,False
northbound_hold_pct_change_5d,northbound,10,0,0.0,,,,,,1,,,False
northbound_hold_pct_change_5d,northbound,20,0,0.0,,,,,,1,,,False
fund_flow_net_3d,fund_flow,1,0,0.0,,,,,,1,,,False
fund_flow_net_3d,fund_flow,5,0,0.0,,,,,,1,,,False
fund_flow_net_3d,fund_flow,10,0,0.0,,,,,,1,,,False
fund_flow_net_3d,fund_flow,20,0,0.0,,,,,,1,,,False
fund_flow_turnover_3d,fund_flow,1,0,0.0,,,,,,1,,,False
fund_flow_turnover_3d,fund_flow,5,0,0.0,,,,,,1,,,False
fund_flow_turnover_3d,fund_flow,10,0,0.0,,,,,,1,,,False
fund_flow_turnover_3d,fund_flow,20,0,0.0,,,,,,1,,,False
fund_flow_return_3d,fund_flow,1,0,0.0,,,,,,1,,,False
fund_flow_return_3d,fund_flow,5,0,0.0,,,,,,1,,,False
fund_flow_return_3d,fund_flow,10,0,0.0,,,,,,1,,,False
fund_flow_return_3d,fund_flow,20,0,0.0,,,,,,1,,,False
fund_flow_net_5d,fund_flow,1,0,0.0,,,,,,1,,,False
fund_flow_net_5d,fund_flow,5,0,0.0,,,,,,1,,,False
fund_flow_net_5d,fund_flow,10,0,0.0,,,,,,1,,,False
fund_flow_net_5d,fund_flow,20,0,0.0,,,,,,1,,,False
fund_flow_turnover_5d,fund_flow,1,0,0.0,,,,,,1,,,False
fund_flow_turnover_5d,fund_flow,5,0,0.0,,,,,,1,,,False
fund_flow_turnover_5d,fund_flow,10,0,0.0,,,,,,1,,,False
fund_flow_turnover_5d,fund_flow,20,0,0.0,,,,,,1,,,False
fund_flow_return_5d,fund_flow,1,0,0.0,,,,,,1,,,False
fund_flow_return_5d,fund_flow,5,0,0.0,,,,,,1,,,False
fund_flow_return_5d,fund_flow,10,0,0.0,,,,,,1,,,False
fund_flow_return_5d,fund_flow,20,0,0.0,,,,,,1,,,False
big_deal_count,order_flow,1,0,0.0,,,,,,1,,,False
big_deal_count,order_flow,5,0,0.0,,,,,,1,,,False
big_deal_count,order_flow,10,0,0.0,,,,,,1,,,False
big_deal_count,order_flow,20,0,0.0,,,,,,1,,,False
big_deal_amount,order_flow,1,0,0.0,,,,,,1,,,False
big_deal_amount,order_flow,5,0,0.0,,,,,,1,,,False
big_deal_amount,order_flow,10,0,0.0,,,,,,1,,,False
big_deal_amount,order_flow,20,0,0.0,,,,,,1,,,False
big_deal_buy_sell_imbalance,order_flow,1,0,0.0,,,,,,1,,,False
big_deal_buy_sell_imbalance,order_flow,5,0,0.0,,,,,,1,,,False
big_deal_buy_sell_imbalance,order_flow,10,0,0.0,,,,,,1,,,False
big_deal_buy_sell_imbalance,order_flow,20,0,0.0,,,,,,1,,,False
margin_financing_balance,margin_short,1,0,0.0,,,,,,1,,,False
margin_financing_balance,margin_short,5,0,0.0,,,,,,1,,,False
margin_financing_balance,margin_short,10,0,0.0,,,,,,1,,,False
margin_financing_balance,margin_short,20,0,0.0,,,,,,1,,,False
margin_financing_buy,margin_short,1,0,0.0,,,,,,1,,,False
margin_financing_buy,margin_short,5,0,0.0,,,,,,1,,,False
margin_financing_buy,margin_short,10,0,0.0,,,,,,1,,,False
margin_financing_buy,margin_short,20,0,0.0,,,,,,1,,,False
margin_short_sell_volume,margin_short,1,0,0.0,,,,,,1,,,False
margin_short_sell_volume,margin_short,5,0,0.0,,,,,,1,,,False
margin_short_sell_volume,margin_short,10,0,0.0,,,,,,1,,,False
margin_short_sell_volume,margin_short,20,0,0.0,,,,,,1,,,False
margin_short_balance_volume,margin_short,1,0,0.0,,,,,,1,,,False
margin_short_balance_volume,margin_short,5,0,0.0,,,,,,1,,,False
margin_short_balance_volume,margin_short,10,0,0.0,,,,,,1,,,False
margin_short_balance_volume,margin_short,20,0,0.0,,,,,,1,,,False
intraday_reversal_alpha,intraday_microstructure,1,0,0.0,,,,,,1,,,False
intraday_reversal_alpha,intraday_microstructure,5,0,0.0,,,,,,1,,,False
intraday_reversal_alpha,intraday_microstructure,10,0,0.0,,,,,,1,,,False
intraday_reversal_alpha,intraday_microstructure,20,0,0.0,,,,,,1,,,False
realized_vol_5m,intraday_microstructure,1,0,0.0,,,,,,1,,,False
realized_vol_5m,intraday_microstructure,5,0,0.0,,,,,,1,,,False
realized_vol_5m,intraday_microstructure,10,0,0.0,,,,,,1,,,False
realized_vol_5m,intraday_microstructure,20,0,0.0,,,,,,1,,,False
amihud_5m,intraday_microstructure,1,0,0.0,,,,,,1,,,False
amihud_5m,intraday_microstructure,5,0,0.0,,,,,,1,,,False
amihud_5m,intraday_microstructure,10,0,0.0,,,,,,1,,,False
amihud_5m,intraday_microstructure,20,0,0.0,,,,,,1,,,False
close_vs_vwap,intraday_microstructure,1,0,0.0,,,,,,1,,,False
close_vs_vwap,intraday_microstructure,5,0,0.0,,,,,,1,,,False
close_vs_vwap,intraday_microstructure,10,0,0.0,,,,,,1,,,False
close_vs_vwap,intraday_microstructure,20,0,0.0,,,,,,1,,,False
range_position,intraday_microstructure,1,0,0.0,,,,,,1,,,False
range_position,intraday_microstructure,5,0,0.0,,,,,,1,,,False
range_position,intraday_microstructure,10,0,0.0,,,,,,1,,,False
range_position,intraday_microstructure,20,0,0.0,,,,,,1,,,False
first_hour_volume_share,intraday_microstructure,1,0,0.0,,,,,,1,,,False
first_hour_volume_share,intraday_microstructure,5,0,0.0,,,,,,1,,,False
first_hour_volume_share,intraday_microstructure,10,0,0.0,,,,,,1,,,False
first_hour_volume_share,intraday_microstructure,20,0,0.0,,,,,,1,,,False
last_hour_volume_share,intraday_microstructure,1,0,0.0,,,,,,1,,,False
last_hour_volume_share,intraday_microstructure,5,0,0.0,,,,,,1,,,False
last_hour_volume_share,intraday_microstructure,10,0,0.0,,,,,,1,,,False
last_hour_volume_share,intraday_microstructure,20,0,0.0,,,,,,1,,,False
