name,capital,risk_profile,rank_mode,max_assets,rebalance_freq,target_vol,daily_var_limit,risk_gate_passes,small_account_minimum_gate_passes,small_account_executable_gate_passes,sharpe_ratio,annual_return,annual_volatility,max_drawdown,win_rate,total_return,final_nav,avg_holdings,avg_risky_exposure,avg_cash_weight,avg_target_budget,max_target_budget,zero_budget_rebalances,total_fees,fees_pct_initial_capital,orders,avg_oos_sharpe,min_oos_sharpe
v35_risk_budget_conservative_var_risk_adjusted_200000_2asset_40d_vol0.04_var0.016,200000.0,conservative_var,risk_adjusted,2,40,0.04,0.016,True,False,True,-1.2843,0.0081,0.0132,-0.0232,0.2915,0.104,220801.52,0.82,0.0442,0.9558,0.0442,0.2005,36,821.48,0.0041,100,-4.1105,-13.5913
v35_risk_budget_conservative_var_risk_adjusted_100000_1asset_20d_vol0.04_var0.008,100000.0,conservative_var,risk_adjusted,1,20,0.04,0.008,True,False,True,-1.3178,0.0084,0.0126,-0.0186,0.2684,0.1082,110819.16,0.5,0.0405,0.9595,0.0416,0.2005,77,698.24,0.007,103,-2.0718,-4.8722
v35_risk_budget_conservative_var_risk_adjusted_100000_1asset_20d_vol0.04_var0.012,100000.0,conservative_var,risk_adjusted,1,20,0.04,0.012,True,False,True,-1.3178,0.0084,0.0126,-0.0186,0.2684,0.1082,110819.16,0.5,0.0405,0.9595,0.0416,0.2005,77,698.24,0.007,103,-2.0718,-4.8722
v35_risk_budget_conservative_var_risk_adjusted_100000_1asset_20d_vol0.04_var0.016,100000.0,conservative_var,risk_adjusted,1,20,0.04,0.016,True,False,True,-1.3178,0.0084,0.0126,-0.0186,0.2684,0.1082,110819.16,0.5,0.0405,0.9595,0.0416,0.2005,77,698.24,0.007,103,-2.0718,-4.8722
v35_risk_budget_conservative_var_risk_adjusted_100000_2asset_40d_vol0.04_var0.008,100000.0,conservative_var,risk_adjusted,2,40,0.04,0.008,True,False,True,-1.3399,0.0078,0.0129,-0.023,0.2908,0.0997,109970.45,0.82,0.0435,0.9565,0.0442,0.2005,36,633.35,0.0063,98,-4.1707,-13.7087
v35_risk_budget_conservative_var_risk_adjusted_100000_2asset_40d_vol0.04_var0.012,100000.0,conservative_var,risk_adjusted,2,40,0.04,0.012,True,False,True,-1.3399,0.0078,0.0129,-0.023,0.2908,0.0997,109970.45,0.82,0.0435,0.9565,0.0442,0.2005,36,633.35,0.0063,98,-4.1707,-13.7087
v35_risk_budget_conservative_var_risk_adjusted_100000_2asset_40d_vol0.04_var0.016,100000.0,conservative_var,risk_adjusted,2,40,0.04,0.016,True,False,True,-1.3399,0.0078,0.0129,-0.023,0.2908,0.0997,109970.45,0.82,0.0435,0.9565,0.0442,0.2005,36,633.35,0.0063,98,-4.1707,-13.7087
v35_risk_budget_ultra_var_risk_adjusted_200000_1asset_20d_vol0.06_var0.008,200000.0,ultra_var,risk_adjusted,1,20,0.06,0.008,True,False,True,-1.3549,0.0069,0.0134,-0.0327,0.2335,0.0877,217535.97,0.44,0.0354,0.9646,0.036,0.2149,86,852.93,0.0043,96,-2.915,-8.261
v35_risk_budget_ultra_var_risk_adjusted_200000_1asset_20d_vol0.06_var0.012,200000.0,ultra_var,risk_adjusted,1,20,0.06,0.012,True,False,True,-1.3549,0.0069,0.0134,-0.0327,0.2335,0.0877,217535.97,0.44,0.0354,0.9646,0.036,0.2149,86,852.93,0.0043,96,-2.915,-8.261
v35_risk_budget_ultra_var_risk_adjusted_200000_1asset_20d_vol0.06_var0.016,200000.0,ultra_var,risk_adjusted,1,20,0.06,0.016,True,False,True,-1.3549,0.0069,0.0134,-0.0327,0.2335,0.0877,217535.97,0.44,0.0354,0.9646,0.036,0.2149,86,852.93,0.0043,96,-2.915,-8.261
